"","Razo Social","NomeDeFantasia","logradouro","Bairro","Telefone","lat","lon","TipoDaUnidade","TipoDeEstablecimento"
"1262","CLINICA FICHMAN DERMATOLOGIA E PSIQUIATRIA LTDA","CLINICA FICHMAN DERMATOLOGIA E PSIQUIATRIA - IPANEMA","RUA VISCONDE DE PIRAJA","IPANEMA","30721092",-22.9841683,-43.2045655,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1263","CLINICA FISIO SAUDE TOTAL LTDA","CLINICA FISIO SAUDE TOTAL","RUA HADDOCK LOBO","ESTACIO","25022093",-22.9159856,-43.2089565,"22","CONSULTORIO ISOLADO"
"1264","CLINICA FITIPALDI S/C LTDA","CLINICA FITIPALDI S/C","RUA SETE DE SETEMBRO","CENTRO","(021) 2242-0413",-22.905254,-43.1780879,"22","CONSULTORIO ISOLADO"
"1265","CLINICA MEDICA FRAGOSO FERREIRA","CLINICA FRAGOSO FERREIRA","RUA MONSENHOR ALVES DA ROCHA","PENHA","25600258",-22.8419259,-43.2756148,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1266","CLINICA FRAIHA DE OTORRINOS LTDA","CLINICA FRAIHA DE OTORRINOS","RUA PADRE ELIAS GORAYEB","TIJUCA","(21)22684748",-22.9259249,-43.2338716,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1267","CLINICA DERMATOLOGICA FRANCESCONI DO VALLE LTDA","CLINICA FRANCESCONI","RUA DOIS DE DEZEMBRO","FLAMENGO","22409090",-22.9298906,-43.175864,"22","CONSULTORIO ISOLADO"
"1268","CLINICA FRIDMAN LTDA","CLINICA FRIDMAN","RUA SETE DE SETEMBRO","CENTRO","2532-2053",-22.9054805,-43.1784439,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1269","CLINICA GINECOLOGICA DRA. REGINA & FERNANDA SILVA SANTOS LTD","CLINICA G. O. CARE","ESTRADA DO GALEAO","ILHA DO GOVERNADOR","33930066",-22.8043205,-43.2056974,"22","CONSULTORIO ISOLADO"
"1270","CLINICA GABRIELA D ALMEIDA SERV DE GINECOLOGIA E OBSTET LTDA","CLINICA GABRIELA D ALMEIDA SERV DE GINECO E OBSTETRICIA","RUA DIAS DA CRUZ","MEIER","87426324",-22.9033399,-43.2827293,"22","CONSULTORIO ISOLADO"
"1271","CLINICA GINECENTER LTDA","CLINICA GINECENTER","EST DOS BANDEIRANTES","JACAREPAGUA","(21)24456497",-22.9602696,-43.3903496,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1272","CLINICA GINECOLOGICA A. MANNOCCI LTDA","CLINICA GINECOLOGICA A. MANNOCCI","RUA CONDE DE BONFIM","TIJUCA","38722100",-22.9235469,-43.2292173,"22","CONSULTORIO ISOLADO"
"1273","CLINICA GINECOLOGICA DRA ADRIANA UZELAC E DR ROBERTO KANO","CLINICA GINECOLOGICA DRA ADRIANA UZELAC E DR ROBERTO KANO","AVENIDA NOSSA SENHORA DE COPACABANA","COPACABANA","22362974",-22.9680903,-43.1830137,"22","CONSULTORIO ISOLADO"
"1274","CLINICA GINECOLOGICA DRA NILCE MANSUR LTDA","CLINICA GINECOLOGICA DRA NILCE MANSUR","AVENIDA PRESIDENTE VARGAS","CENTRO","25090978",-22.9027686,-43.1845327,"22","CONSULTORIO ISOLADO"
"1275","CLINICA GIORELLI LTDA EPP","CLINICA GIORELLI","RUA REDENTOR","IPANEMA","2521-48889",-22.9823963,-43.2096293,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1276","CLINICA GODOY - ME","CLINICA GODOY","AVENIDA DAS AMERICAS","BARRA DA TIJUCA","(021) 24982625",-23.0060586,-43.4327769,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1277","CLINICA GODOY LTDA","CLINICA GODOY","RUA HIPOLITO DA COSTA","VILA ISABEL","25689984",-22.9133218,-43.2417603,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1278","GRACA MOTA CLINICA DERMATOLOGICA LTDA.-ME","CLINICA GRACA MOTA","RUA MANUELA BARBOSA","MEIER","32711078",-22.9014891,-43.2817597,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1279","CLINICA GRM LTDA","CLINICA GRM","AVENIDA MINISTRO EDGARD ROMERO","MADUREIRA","24501080",-22.8662669,-43.3318801,"22","CONSULTORIO ISOLADO"
"1280","CLINICA H2A DE FISIOTERAPIA E ORTOPEDIA LTDA","CLINICA H2A DE FISIOTERAPIA E ORTOPEDIA","RUA JOSE HIGINO","TIJUCA","25708362",-22.9252028,-43.2403837,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1281","EBG OFTALMOLOGISTAS ASSOCIADOS LTDA","CLINICA HARLEY STREET","RUA VISCONDE DE PIRAJA","IPANEMA","25129915",-22.9836972,-43.2142111,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1282","CLINICA HENRIQUE MURAD LTDA","CLINICA HENRIQUE MURAD","RUA VOLUNTARIOS DA PATRIA","BOTAFOGO","2537-3523",-22.9526989,-43.1883571,"22","CONSULTORIO ISOLADO"
"1283","CLINICA INFANTIL MADUREIRA LTDA","CLINICA INFANTIL MADUREIRA","RUA GUARAPARI","MADUREIRA","33900710",-22.8703742,-43.3419306,"22","CONSULTORIO ISOLADO"
"1284","CLINICA GMMS SC","CLINICA INLARIO - GI","RUA CONDE DE IRAJA","BOTAFOGO","33326852",-22.9538758,-43.1957813,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1285","CLINICA INTEGRADA PAULO ROBERTO FARIA LTDA","CLINICA INTEGRADA PAULO ROBERTO FARIA","RUA SENADOR DANTAS","CENTRO","25333155",-22.9103645,-43.1773863,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1286","CLINICA INTERFACE E SERVICOS MEDICOS LTDA","CLINICA INTERFACE E SERVICOS MEDICOS","RUA SENADOR DANTAS","CENTRO","2125173359",-22.9086473,-43.1783624,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1287","CLINICA IRENE E ELISA SCHECHTMAN DERMATOLOGIA E CIRURGIA PLA","CLINICA IRENE E ELISA SCHECHTMAN","LARGO DO MACHADO","CATETE","22059196",-22.9306168,-43.1790666,"22","CONSULTORIO ISOLADO"
"1288","CLINICA IRMAOS BORBA LTDA","CLINICA IRMAOS BORBA","ESTRADA DO GALEAO","CACUIA","33966028",-22.8106124,-43.1945764,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1289","CLINICA JABOUR LTDA","CLINICA JABOUR","RUA RAUL AZEVEDO","SENADOR CAMARA","",-22.8808556,-43.4926929,"4","POLICLINICA"
"1290","OTORRINOS.COM LTDA","CLINICA JAIR DE CARVALHO E CASTRO","RUA VISCONDE DE PIRAJA","IPANEMA","2125224949",-22.9843885,-43.2056349,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1291","CLINICA JARDIM AMERICA LTDA","CLINICA JARDIM AMERICA","RUA CRISTIANO MACHADO","JARDIM AMERICA","21 24711652",-22.818663,-43.3170285,"7","HOSPITAL ESPECIALIZADO"
"1292","CLINICA DERMATOLOGICA JARDIM BOTANICO LTDA","CLINICA JARDIM BOTANICO","RUA JARDIM BOTANICO","COPACABANA","38746430",-22.9650502,-43.2184875,"22","CONSULTORIO ISOLADO"
"1293","CLINICA JARDIM OCEANICO LTDA","CLINICA JARDIM OCEANICO","AV RODOLFO DE AMOEDO","BARRA DA TIJUCA","(21)24956484",-23.0106248,-43.3170423,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1294","CLINICA JESUS MORENO SERVICOS OTORRINOLARINGOLOGIA LTDA ME","CLINICA JESUS MORENO","RUA VOLUNTARIOS DA PATRIA","BOTAFOGO","22667055",-22.9558042,-43.1963851,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1295","JORGE JABER CLINICA DE PSICOTERAPIA LTDA","CLINICA JORGE JABER VARGEM PEQUENA","ELISIO DE ARAUJO","VARGEM PEQUENA","(21)24422230",-22.983328,-43.4590731,"7","HOSPITAL ESPECIALIZADO"
"1296","CLINICA JOSE OSVALDO FAULHABER DE MORAES","CLINICA JOSE OSVALDO FAULHABER DE MORAES","RUA VOLUNTARIOS DA PATRIA","BOTAFOGO","25112697",-22.9548326,-43.1939702,"22","CONSULTORIO ISOLADO"
"1297","CLINICA KALLER«S LTDA","CLINICA KALLER«S","RUA VIUVA DANTAS","CAMPO GRANDE","",-22.9033139,-43.5570527,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1298","CLINICA LAN LTDA","CLINICA LAN","RUA GUAPIARA","TIJUCA","(21)2234-8267",-22.9267798,-43.2320634,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1299","CLINICA PSICOLOGIA LANNA LTDA","CLINICA LANNA","RUA SIQUEIRA CAMPOS","COPACABANA","22365166",-22.9678902,-43.1857246,"22","CONSULTORIO ISOLADO"
"1300","MED ASSESS MEDICINA E PSICOLOGIA LTDA","CLINICA LAS PALMAS","AV DSA AMERICAS","BARRA DA TIJUCA","2132058742",-22.9999056,-43.3534626,"22","CONSULTORIO ISOLADO"
"1301","CLINICA MEIRELLES LTDA","CLINICA LEAL DE MEIRELLES","RUA GAL GARZON","JARDIM BOTANICO","2122942758",-22.9665074,-43.2190313,"22","CONSULTORIO ISOLADO"
"1302","CLINICA MEDICA LENZ ROSSI LTDA","CLINICA LENZ ROSSI","PRACA SERZEDELO CORREA","COPACABANA","22361463",-22.9695202,-43.1834919,"22","CONSULTORIO ISOLADO"
"1303","CLINICA LUCINDA MARIA RONDINELLI SECUNHO","CLINICA LUCINDA MARIA RONDINELLI SECUNHO","RUA FRANCISCO SA","COPACABANA","25210155",-22.9831716,-43.1919332,"22","CONSULTORIO ISOLADO"
"1304","CLINICA ELETRODIAGNOSTICO REABILITACAO LUIZ CARLOS PINTO LTD","CLINICA LUIZ CARLOS PINTO FILIAL","RUA CONDE DE BONFIM","TIJUCA","22045790",-22.9250009,-43.2248474,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1305","CLINICA ELETRODIAGNOSTICO REABILITACAO LUIZ CARLOS PINTO LTD","CLINICA LUIZ CARLOS PINTO JARDIM BOTANICO","RUA JARDIM BOTANICO","JARDIM BOTANICO","22749340",-22.9650502,-43.2184875,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1306","FLEURY S.A.","CLINICA LUIZ FELIPPE MATTOSO - JD. BOTANICO","RUA JARDIM BOTANICO","JARDIM BOTANICO","(21) 2538-3500",-22.9604064,-43.2050845,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"1307","FLEURY S.A","CLINICA LUIZ FELIPPE MATTOSO BAMBINA 56","RUA BAMBINA","BOTAFOGO","(21) 2538 3500",-22.9453519,-43.1855289,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"1308","FLEURY S.A","CLINICA LUIZ FELIPPE MATTOSO BAMBINA 98","RUA BAMBINA","BOTAFOGO","(21) 2538 3500",-22.9465893,-43.185732,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"1309","FLEURY S.A","CLINICA LUIZ FELIPPE MATTOSO BARRA 700","AVENIDA DAS AMERICAS","BARRA DA TIJUCA","(21) 2538 3500",-23.0038509,-43.3217863,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"1310","FLEURY S.A","CLINICA LUIZ FELIPPE MATTOSO CANDELARIA","RUA CANDELARIA","CENTRO","(21) 2538 3500",-22.9019724,-43.1768102,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"1311","FLEURY S.A","CLINICA LUIZ FELIPPE MATTOSO LEBLON","AVENIDA BARTOLOMEU MITRE","LEBLON","(21) 2538 3500",-22.9817223,-43.2236441,"39","UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)"
"1312","HEMATOLOGIA CLINICA MACH LTDA","CLINICA MACH HEMATOLOGIA","RUA SETE DE SETEMBRO","CENTRO","(21)25091688",-22.9052205,-43.1782938,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1313","CLINICA DRA GRACA MAIA LTDA","CLINICA MAIA","RUA DR PEREIRA DOS SANTOS","TIJUCA","21 30772121",-22.9254977,-43.2334094,"4","POLICLINICA"
"1314","SMED SERVICOS MEDICOS LTDA","CLINICA MAIS","PRAIA DE BOTAFOGO","BOTAFOGO","21 25548678",-22.9420132,-43.1805086,"22","CONSULTORIO ISOLADO"
"1315","CLINICA MANDEL CENTRO DE TRATAMENTO DA DOR LTDA","CLINICA MANDEL CENTRO DE TRATAMENTO DA DOR","RUA DO RIACHUELO","CENTRO","22247485",-21.7695805,-41.3159568,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1316","INSTITUTO DE OFTALMOLOGIA E OTORRINOLARINGOLOGIA WAJNBERG","CLINICA MARCOS ISAAC WAJNBERG","RUA HERMENGARDA","MEIER","(21)25829330",-22.9053483,-43.2772808,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1317","CLINICA DR. MARIO S. L. GALVAO LTDA","CLINICA MARIO GALVAO","RUA VISCONDE DE SILVA","BOTAFOGO","",-22.9572557,-43.1936827,"22","CONSULTORIO ISOLADO"
"1318","CLINICA MARIS LTDA","CLINICA MARIS","RUA MIGUEL LEMOS","COPACABANA","25221499",-22.9777581,-43.1909051,"22","CONSULTORIO ISOLADO"
"1319","CLINICA MASTER LTDA","CLINICA MASTER","AVENIDA TREZE DE MAIO","CENTRO","2225.605",-22.9091558,-43.1771106,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1320","RMII SERVICOS OFTALMOLOGICOS LTDA","CLINICA MASTER DE OFTALMOLOGIA","AVENIDA AYRTON SENNA","BARRA DA TIJUCA","21-22421752",-22.9928082,-43.3653425,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1321","CLINICA ODONTOLOGICA DRA. ADRIANA MACHADO LTDA","CLINICA MAXILO FACIAL","AV DAS AMERICAS","BARRA DA TIJUCA","21 3591.6884",-22.9702231,-43.6290099,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1322","CLINICA OFTALMOLOGICA DR. MAYNARD FREIRE LTDA","CLINICA MAYNARD","AV RIO BRANCO","CENTRO","22329325",-22.9045783,-43.1778501,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1323","CLINICA MED E DERMAT DE IPANEMA DRA. ANA LUCIA MENDONCA LTDA","CLINICA MED E DERMAT DE IPANEMA DRA. ANA LUCIA MENDONCA","RUA VISCONDE DE PIRAJA","IPANEMA","25212393",-22.9845889,-43.1985291,"22","CONSULTORIO ISOLADO"
"1324","ADRIANE MATTA SERVICOS MEDICOS LTDA","CLINICA MEDICA AMAIS","AVN ATAULFO DE PAIVA","LEBLON","021 3205-7035",-22.9853382,-43.2261674,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1325","CLINICA MEDICA BARRA BONITA LTDA","CLINICA MEDICA BARRA BONITA","AVENIDA DAS AMERICAS","RECREIO DOS BANDEIRANTES","24909716",-23.0160593,-43.5166315,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1326","CLINICA MEDICA CARDIOLOGICA DR EMILIO CESAR ZIILI LTDA","CLINICA MEDICA CARDIOLOGICA DR EMILIO CESAR ZIILI","EST DO GALEAO","ILHA DO GOVERNADOR","(21)24631200",-22.8051194,-43.2013803,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1327","CLINICA MEDICA CARMINE FAJARDO LTDA","CLINICA MEDICA CARMINE FAJARDO","RUA DIAS DA CRUZ","MEIER","21 25950324",-22.9033399,-43.2827293,"22","CONSULTORIO ISOLADO"
"1328","CLINICA MEDICA CLINECENTER LTDA","CLINICA MEDICA CLINECENTER","ESTRADA DOS BANDEIRANTES","TAQUARA","(21) 24456497",-22.9251839,-43.373721,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1329","CLINICA MEDICA DELTA MADUREIRA FILHO S/C LTDA","CLINICA MEDICA DELTA MADUREIRA FILHO","RUA SOROCABA","BOTAFOGO","22861444",-22.9540387,-43.1896376,"22","CONSULTORIO ISOLADO"
"1330","CLINICA MEDICA DR WALTER MARTINS LTDA","CLINICA MEDICA DR WALTER MARTINS","RUA GENERAL ROCA","TIJUCA","22546390",-22.9244714,-43.2336828,"22","CONSULTORIO ISOLADO"
"1331","CLINICA MEDICA DR. IVO SOARES DA SILVA LTDA","CLINICA MEDICA DR. IVO SOARES DA SILVA","RUA CARDOSO DE MORAIS","BONSUCESSO","39763890",-22.8631572,-43.2541627,"22","CONSULTORIO ISOLADO"
"1332","CLINICA MEDICA DRA DENISE SILVEIRA LTDA","CLINICA MEDICA DRA DENISE SILVEIRA","RUA URUGUAIANA","CENTRO","2122042994",-22.9042382,-43.1799268,"22","CONSULTORIO ISOLADO"
"1333","CLINICA MEDICA DRA EDNA POCHACZEVSKY LTDA","CLINICA MEDICA DRA EDNA POCHACZEVSKY","RUA GENERAL VENANCIO FLORES","LEBLON","25121644",-22.9845753,-43.2252382,"22","CONSULTORIO ISOLADO"
"1334","CLINICA MEDICA DRA LUCIANA PALMA LTDA","CLINICA MEDICA DRA LUCIANA PALMA","RUA MEXICO","CENTRO","25240449",-22.8725988,-42.335195,"22","CONSULTORIO ISOLADO"
"1335","CLINICA MEDICA DUARTE PINTO LTDA","CLINICA MEDICA DUARTE PINTO","RUA XAVIER DA SILVEIRA","COPACABANA","2521-6497",-22.9769388,-43.1907642,"22","CONSULTORIO ISOLADO"
"1336","CLINICA MEDICA E CARDIOLOGICA DR. RUI DOS ANJOS MORAES LTDA","CLINICA MEDICA E CARDIOLOGICA DR. RUI DOS ANJOS MORAES","RUA DR. CAETANO DE FARIA CASTRO","CAMPO GRANDE","24135601",-22.9039929,-43.5569179,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1337","CLINICA MEDICA E CIRURGICA HUMAITA LTDA","CLINICA MEDICA E CIRURGICA HUMAITA","RUA MACEDO SOBRINHO","HUMAITA","21 25275277",-22.9596759,-43.1980232,"22","CONSULTORIO ISOLADO"
"1338","CLINICA MEDICA E CIRURGICA TEIXEIRA E SALES SC LTDA","CLINICA MEDICA E CIRURGICA TEIXEIRA E SALES","AV BRUXELAS","BONSUCESSO","(21)22602138",-22.8655606,-43.2525648,"22","CONSULTORIO ISOLADO"
"1339","CLINICA MEDICA E FISIOTERAPICA DR ALLAN KARDEC LTDA - ME","CLINICA MEDICA E FISIOTERAPICA DR ALLAN KARDEC","RUA FRANCISCO REAL","PADRE MIGUEL","(21)3335-9693",-22.8790324,-43.4504552,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1340","CLINICA MEDICA E HOMEOPATICA DR BENEDITO LTDA","CLINICA MEDICA E HOMEOPATICA DR BENEDITO","ESTRADA DO GALEAO","ILHA DO GOVERNADOR","(21)33965023",-22.8051194,-43.2013803,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1341","CLINICA MEDICA E REUMATOLOGICA BASTOS MARTINS LTDA","CLINICA MEDICA E REUMATOLOGICA BASTOS MARTINS","LARGO DO MACHADO","CATETE","22582847",-22.9306609,-43.1792954,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1342","CLINICA MEDICA E UROLOGICA EMILIO KARAM LTDA","CLINICA MEDICA E UROLOGICA EMILIO KARAM","RUA JD BOTANICO","JARDIM BOTANICO","",-22.9646789,-43.2181467,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1343","CLINICA MEDICA EMAM LTDA","CLINICA MEDICA EMAM","RUA JURUNAS","MEIER","",-22.9044317,-43.2939976,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1344","CLINICA MEDICA FERREIRA E DE SOUZA LTDA","CLINICA MEDICA FERREIRA E DE SOUZA","RUA DIAS DA CRUZ","MEIER","(21)22690601",-22.9020049,-43.2792257,"22","CONSULTORIO ISOLADO"
"1345","CLINICA MEDICA JEUNON VARGAS EPP","CLINICA MEDICA JEUNON VARGAS","RUA CONDE DE BONFIM","TIJUCA","(21)8138-8811",-22.9251658,-43.2337784,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1346","CLINICA MEDICA JEUNON VARGAS LTDA","CLINICA MEDICA JEUNON VARGAS - FILIAL","RUA VISCONDE DE PIRAJA","IPANEMA","(21)8138-8811",-22.9843885,-43.2056349,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1347","CLINICA MEDICA JOAO CURVO LTDA","CLINICA MEDICA JOAO CURVO","AVENIDA DAS AMERICAS","BARRA DA TIJUCA","21 2493-3779",-22.9998142,-43.3496509,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1348","CLINICA MEDICA LILIAN SCHEINKMAN LTDA","CLINICA MEDICA LILIAN SCHEINKMAN","AVN NOSSA SENHORA COPACABANA","COPACABANA","22471954",-22.9773703,-43.1906136,"22","CONSULTORIO ISOLADO"
"1349","CLINICA MEDICA MAIORANO LTDA","CLINICA MEDICA MAIORANO","RUA CONDE DE BONFIM","TIJUCA","21 22042899",-22.9249341,-43.2250726,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1350","CLINICA MEDICA MELSI LTDA","CLINICA MEDICA MELSI","RUA DO CATETE","CATETE","(21) 2285-6411",-22.9314622,-43.1775954,"22","CONSULTORIO ISOLADO"
"1351","CLINICA MEDICA ODONTOLOGICA DRA LEILA LTDA","CLINICA MEDICA ODONTOLOGICA DRA LEILA","RUA DOS LIMITES","REALENGO","(21)33310725",-22.8897169,-43.4337585,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1352","CLINICA MEDICA ORTOPEDICA DR PAULO CESAR F DE ANDRADE","CLINICA MEDICA ORTOPEDICA DR PAULO CESAR F DE ANDRADE","AV DAS AMERICAS","BARRA DA TIJUCA","(21)24328291",-23.0004416,-43.3479202,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1353","CLINICA MEDICA PAIVA CARNEIRO LTDA","CLINICA MEDICA PAIVA CARNEIRO","RUA CONDE DE BONFIM","TIJUCA","22841888",-22.9240306,-43.2325491,"22","CONSULTORIO ISOLADO"
"1354","CLINICA MEDICA PALAZZO LTDA ME","CLINICA MEDICA PALAZZO","AVENIDA MERITI","VILA DA PENHA","34578600",-22.8381014,-43.3104446,"22","CONSULTORIO ISOLADO"
"1355","CLINICA MEDICA DR PLINIO TOSTES BERARDO LTDA","CLINICA MEDICA PLINIO BERARDO","RUA VINICIUS DE MORAES","IPANEMA","22942226",-22.9838843,-43.2030021,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1356","CLINICA MEDICA PRO MULHER LTDA","CLINICA MEDICA PRO MULHER","AV. NOSSA SENHORA DE COPACABANA","COPACABANA","2295-3476",-22.9655126,-43.177571,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1357","CLINICA MEDICA RESPIRATORIA E DO TRABALHO LTDA","CLINICA MEDICA RESPIRATORIA E DO TRABALHO","AVENIDA AYRTON SENNA","BARRA DA TIJUCA","2133252829",-22.9928082,-43.3653425,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1358","CLINICA MEDICA RIOIMPLANTES LTDA","CLINICA MEDICA RIOIMPLANTES","AV. DAS AMERICAS","BARRA DA TIJUCA","21 35071864",-22.9998142,-43.3496509,"22","CONSULTORIO ISOLADO"
"1359","CLINICA MEDICA SANTA ELIZABETH LTDA","CLINICA MEDICA SANTA ELIZABETH","RUA MIGUEL ANGELO","CACHAMBI","25014260",-22.8873152,-43.2657974,"22","CONSULTORIO ISOLADO"
"1360","CLINICA MEDICA SANTA LUCIA LTDA ME","CLINICA MEDICA SANTA LUCIA","AVENIDA PASTOR MARTIN LUTHER KING JR","INHAUMA","2127678161",-22.8612508,-43.3068844,"22","CONSULTORIO ISOLADO"
"1361","CLINICA MEDICA SAO JUDAS LTDA","CLINICA MEDICA SAO JUDAS","RUA SILVEIRA MARTINS","CATETE","",-22.9260644,-43.1788193,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1362","CLINICA MEDICAS ASSOCIADAS DA BARRA LTDA","CLINICA MEDICAS ASSOCIADAS DA BARRA","AV DAS AMERICAS","BARRA DA TIJUCA","(21)2493-7218",-22.9998142,-43.3496509,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1363","CLINICA MEDICO-CIRURGICA DR FRANCESCO AGOGLIA LTDA","CLINICA MEDICO-CIRURGICA DR FRANCESCO AGOGLIA LTDA","RUA GENERAL ROCA","TIJUCA","25723722",-22.9252224,-43.2330304,"22","CONSULTORIO ISOLADO"
"1364","CLINICA MENTIS LTDA","CLINICA MENTIS","AV RIO BRANCO","CENTRO","(21)25103450",-22.9059583,-43.1773198,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1365","WALSH E CREMA CLINICA MICRO-CIRURGIA OCULAR LTDA","CLINICA MICRO-CIRURGIA OCULAR WALSH E CREMA","AVENIDA ATAULFO DE PAIVA","LEBLON","30430616",-22.9838864,-43.2184188,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1366","CLINICA MONT SERRAT LTDA","CLINICA MONT SERRAT","RUA DA REVERENCIA","JACAREPAGUA","(21)24415028",-22.9590464,-43.3911415,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1367","CLINICA MEDICA NEDER","CLINICA NEDER","AV NS COPACABANA","COPACABANA","22567383",-22.9688594,-43.1844096,"22","CONSULTORIO ISOLADO"
"1368","CLINICA MEDICA NEMER CHIDID LTDA","CLINICA NEMER CHIDID","RUA DEZENOVE DE FEVEREIRO","BOTAFOGO","",-22.9534605,-43.1863093,"22","CONSULTORIO ISOLADO"
"1369","CLINICA NEUROCIRURGICA DO RIO DE JANEIRO LTDA - ME","CLINICA NEURO RIO","AV. N.S. DE COPACABANA","COPACABANA","22554430",-22.9688594,-43.1844096,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1370","CLINICA NEUROLOGICA E NEUR DRA SUELI ALVES DE ANDRADE LTDA","CLINICA NEUROLOGICA E NEUR DRA SUELI ALVES DE ANDRADE","RUA DESEMBARGADOR IZIDRO","TIJUCA","25705515",-22.9266701,-43.233125,"22","CONSULTORIO ISOLADO"
"1371","CLINICA NEUROLOGICA LUIZ ALVES LTDA","CLINICA NEUROLOGICA LUIZ ALVES","AV NELSON CARDOSO","TAQUARA","24233235",-22.9204809,-43.3685599,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1372","CLINICA NEUROLOGICA MARIA BACELAR LTDA","CLINICA NEUROLOGICA MARIA BACELAR MATRIZ","AVENIDA DAS AMERICAS","BARRA DA TIJUCA","33252381",-22.9994292,-43.3593017,"22","CONSULTORIO ISOLADO"
"1373","CLINICA NOSSA SENHORA DA LUZ S/C LTDA","CLINICA NOSSA SENHORA DA LUZ","RUA VIUVA DANTAS","CAMPO GRANDE","24134233",-22.9033139,-43.5570527,"22","CONSULTORIO ISOLADO"
"1374","CLINICA NOVA GUANABARA LTDA","CLINICA NOVA GUANABARA","RUA URANOS","OLARIA","21 25641575",-22.8473162,-43.2673618,"36","CLINICA/CENTRO DE ESPECIALIDADE"
"1375","CLINICA NUTRICIONAL SAUDE E BEM ESTAR LTDA","CLINICA NUTRICIONAL SAUDE E BEM ESTAR","RUA VIUVA DANTAS","CAMPO GRANDE","21 24150455",-22.9033139,-43.5570527,"22","CONSULTORIO ISOLADO"
"1376","ODONTHUS EXCELENCIA EM ODONTOLOGIA LTDA","CLINICA ODONTHUS","RUA URUGUAIANA","CENTRO","35530935",-22.9042382,-43.1799268,"36","CLINICA/CENTRO DE ESPECIALIDADE"
