CNES,Razão Social,Nome de Fantasia,Logradouro,Número,Complemento,Bairro,CEP,Telefone,lat,lon,Código Esfera Administrativa,Esfera Administrativa,Código Da Atividade,Atividade De Ensino,Código Da Natureza Organização,Natureza Da Organização,Tipo Da Unidade,Tipo De Estabelecimento
7110227,CERES GENETICA - CENTRO DE REF. E EST. EM GEN. MED. LTDA,CERES GENETICA - CENTRO DE REF. E EST. EM GEN. MED,AV. ATAULFO DE PAIVA,135,SALA 1605,LEBLON,22440032,22744494,-22.9838357,-43.2173542,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3466531,CERES JACINTO LEITE FERREIRA,CERES JACINTO LEITE FERREIRA,EST DO CACUIA,203,SL 304,ILHA DO GOVERNADOR,21921000,(21)33636969,-22.8111329,-43.1900684,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7310005,CERES MARIA DE FRANCA BEZERRA,CERES MARIA DE FRANCA BEZERRA,AVENIDA TREZE DE MAIO,23,SALA 1108,CENTRO,20031902,2125442518,-22.9090741,-43.1770539,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6796214,CESCATTO CESCATTO CONSULTORIO MEDICO LTDA ME,CESC ATTO CESCATTO CONSULTORIO MEDICO,RUA GENERAL VENANCIO FLORES,305,SALA 503,LEBLON,22441090,(21) 22747546,-22.9845753,-43.2252382,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7089260,CETA CLINICA DE ENDOCRINOLOGIA E TRANSTORNOS ALIMENTARES LTD,CETA CLINICA DE ENDOCRINOLOGIA E TRANSTORNOS ALIMENTARES,RUA SANTA CLARA,50,10174/1018,COPACABANA,22041012,25486030,-22.971805,-43.18683,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6548164,CETEM - CENTRO DE TRATAMENTO ESPECIALIZADO DA MULHER LTDA,CETEM - CENTRO DE TRATAMENTO ESPECIALIZADO DA MULHER,ESTRADA DO PORTELA,99,SALA 412,MADUREIRA,21351050,24895230,-22.8726776,-43.3389441,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3113302,CETHO SOCIEDADE ESPECIALIZADA EM TRAT HEMAT ONCOL,CETHO SOCIEDADE ESPECIALIZADA EM TRAT HEMAT ONCOL,RUA DO CATETE,311,SALA 1316171802,CATETE,22220001,(21)22052847,-22.9314622,-43.1775954,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6874649,CETIN CENTRO DE ESTUDOS E TERAPIAS INTEGRADAS LTDA,CETIN CENTRO DE ESTUDOS E TERAPIAS INTEGRADAS,AV DAS AMERICAS,2901,SALA 215,BARRA DA TIJUCA,22631002,34613619,-23.000374,-43.3540398,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3113086,CENTRO DE TRATAMENTO MEDICO ORTOPEDICO LTDA,CETMO CENTRO DE TRATAMENTO MEDICO ORTOPEDICO,RUA CAMANDUCAIA,51,,CAMPO GRANDE,23052140,21 2413 4482,-22.9052986,-43.5555174,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6570607,CETOL - CONSULTAS EXAMES E TRATAMENTOS OFTALMOLOGICOS LTDA.,CETOL - CONSULTAS EXAMES E TRATAMENTOS OFTALMOLOGICOS,AVENIDA NOSSA SENHORA DE COPACABANA,1052,SALA 604,COPACABANA,22060002,25221290,-22.9768657,-43.1903189,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3346692,CETOL CENTRO ESPECIALIZADO TRAUMATOORTOPEDICO LTDA,CETOL CENTRO ESPECIALIZADO TRAUMATOORTOPEDICO,AV CESARIO DE MELO,2333,,CAMPO GRANDE,23055002,(21)24161006,-22.9045339,-43.5550641,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
5359686,CETOT RIO ORTOPEDIA LTDA,CETOT RIO ORTOPEDIA,RUA CONDE DE BONFIM,297,SALA 408,TIJUCA,20520051,2138724654,-22.9232908,-43.2308695,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
3057488,ESHO EMPRESA DE SERVICOS HOSPITALARES LTDA,CETRIN CENTRO DE TRATAMENTO INTENSIVO NEONATALBOTAFOGO,RUA VOLUNTARIOS DA PATRIA,435,PARTE,BOTAFOGO,22270000,(21)22863385,-22.9557188,-43.196207,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,7,HOSPITAL ESPECIALIZADO
6095720,SERGIO GUEDES DE ARAUJO CENTRO DE TRATAMENTO OCULAR LTDA,CETRO CENTRO DE TRATAMENTO OCULAR,AVENIDA NELSON CARDOSO,1149,SALA 504,JACAREPAGUA,22730001,24231522,-22.9219347,-43.3710337,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6933629,CEURGIN CLINICA MEDICA LTDA,CEURGIN CLINICA MEDICA,RUA DESEMBARGADOR IZIDRO,40,SALA 802,TIJUCA,20521180,22010392,-22.9266701,-43.233125,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6764398,CENTRO DE VIDEOENDOSCOPIA DA BARRA DA TIJUCA,CEVESP CENTRO DE VIDEOENDOSCOPIA DA BARRA DA TIJUCA BARRA,AV.DAS AMERICAS,4801,SALA 131,BARRA DA TIJUCA,22631004,3326-2407,-23.000281,-43.3615336,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3148955,CEZARIO E FERREIRA MEDICOS ASSOCIADOS LTDA,CEZARIO E FERREIRA MEDICOS ASSOCIADOS,AV STA CRUZ,2625,SALA 202,PADRE MIGUEL,21710255,(21)33336538,-22.8757872,-43.4566387,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6832369,CFC CLINICA DE DERMATOLOGIA E MEDICINA ESTETICA LTDA,CFC DERMATOLOGIA,RUA CONDE DE BONFIM,344,BL 2 SLS 1007 E 1008,TIJUCA,20520054,22832037,-22.9240306,-43.2325491,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6902510,DCSC SERVICOS DE FISIOTERAPIA E ESTETICA LTDA.,CFE - CLINICA DE FISIOTERAPIA E ESTETICA,AVENIDA NOSSA SENHORA DE COPACABANA,583,SALA 703,COPACABANA,22050002,2122359609,-22.9701417,-43.185867,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3353095,CFH CLINICA DE FISIOTERAPIA HUMANIZADA LTDA,CFH CLINICA DE FISIOTERAPIA HUMANIZADA,RUA STO AFONSO,131,SALA 201,TIJUCA,20511170,(21)38728772,-22.9228657,-43.2322086,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
5195454,CGO - CENTRO DE DIAGNOSTICO LTDA,CGO - DIAGNOSTICO,AVENIDA ERICO VERISSIMO,1015,SALAS 202 E 203,BARRA DA TIJUCA,22621180,24860644,-23.0083629,-43.304963,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
5829186,CGU CONSULTORIOS MEDICOS LTDA ME,CGU CONSULTORIOS MEDICOS,RUA CONDE DE LAGES,44,SALA 905,GLORIA,20241900,21 39704638,-22.9174292,-43.1777241,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6253474,CHAFTO CENT HOSP AMB FISIOT TRAUMATO ORTOPEDIA S C LTDA,CHAFTO CENT HOSP AMB FISIOT TRAUMATO ORTOPEDIA,RUA GUARAPARI,41,SALA 301,MADUREIRA,21351120,2488-1259,-22.8703742,-43.3419306,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6987648,CHECK UP-UNIDADE PREVENTIVA DIAG. E MED. PREVENTIVA LTDA,CHECK UP-UNIDADE PREVENTIVA DIAG. E MED. PREVENTIVA,AV. DAS AMERICAS,6205,SL. 301,BARRA DA TIJUCA,22793080,21 39239488,-23.0005712,-43.3627888,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
5355702,CEMOC - CENTRO MEDICO E ODONTOLOGICO CABRAL LTDA,CIA CENTRO INTEGRADO AMBULATORIAL,ESTRADA DA AGUA BRANCA,2533,,REALENGO,21735001,34641144,-22.8688905,-43.4405858,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7000634,CIBLE SERVICOS MEDICOSHOSPITALARES LTDA,CIBLE QUINTA DOR,RUA ALMIRANTE BALTAZAR,467,PARTE,SAO CRISTOVAO,20941150,32394766,-22.9079316,-43.2217336,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7276818,CICARPED SERVICOS MEDICOS - EPP,CICARPED SERVICOS MEDICOS,AV. DAS AMERICAS,700,BL. 8 LJ 215 K,BARRA DA TIJUCA,22640100,2216-9905,-23.0038509,-43.3217863,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
6591906,CICC CENTRO INTEGRADO DO CEREBRO E COLUNA LTDA,CICC CENTRO INTEGRADO DO CEREBRO E COLUNA,AV NOSSA SENHORA DE COPACABANA,195,SALA 606,COPACABANA,22020002,25437625,-22.9655126,-43.177571,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
7160453,CICERO ANTONIO MONTEIRO DE SOUZA,CICERO ANTONIO MONTEIRO DE SOUZA,AV. RIO BRANCO,156,,CNETRO,20040003,21-2240-2664,-22.9059583,-43.1773198,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
3164268,CICOM CENTRO DE IMAGEM COMPUTADORIZADA LTDA,CICOM,RUA ITAPIRU,1504,PARTE,RIO COMPRIDO,20251021,(21)25049128,-22.9245973,-43.2043752,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7124910,CID DIAGNOSTICO PESQUISA E CONSULT MEDICA ESPECIALIZADA LTDA,CID CENTRO DE DIAGNOSTICOS ESPECIALIZADOS,RUA VOLUNTARIOS DA PATRIA,445,SALA 1304,BOTAFOGO,22270000,25351982,-22.9558042,-43.1963851,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
7180500,CID SERVICOS MEDICOS ESPECIALIZADOS,CID CENTRO DE INFUSAO,AVENIDA DAS AMERICAS,4790,SALA 329,BARRA DA TIJUCA,22640102,,-22.9994335,-43.35932,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,22,CONSULTORIO ISOLADO
6322123,CID SERVICOS MEDICOS ESPECIALIZADOS LTDA,CID CENTRO DE INFUSAO,RUA VOLUNTARIOS DA PATRIA,445,SALA 1311,BOTAFOGO,22270000,25351982,-22.9558042,-43.1963851,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
3223183,CID CENTRO DE INVESTIG DIAGNOSTICA ABILIO SIMOES LTDA,CID CENTRO DE INVESTIG DIAGNOSTICA ABILIO SIMOES,RUA LATIFE LUVIZARO,142,APT 101 201,MARECHAL HERMES,21555550,(21)24501132,-22.8599408,-43.3698623,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
7348002,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB - UPA MANGUINHOS,RUA DOM HELDER CAMARA,1390,PARTE,MANGUINHOS,20973012,21 2536 6027,-22.8805061,-43.2688805,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329276,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - ALBERT SCHWEITZER,RUA NILOPOLIS,329,PARTE,REALENGO,21720040,,-22.8664304,-43.4416666,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329608,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - ANCHIETA,RUA CARLOS SEILD,785,PARTE,CAJU,20931002,21 2536-6027,-22.8758698,-43.2229928,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329322,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - CARLOS CHAGAS,AV GENERAL OSVALDO CORDEIRO DE FARIAS,466,PARTE,MARECHAL HERMES,21610480,,-22.8656039,-43.3737823,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329519,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - CENTRO PSIQUIATRICO,PRACA CORONEL ASSUNCAO,S/N,PARTE,GAMBOA,20220480,21 2536-6027,-22.8967058,-43.1922914,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329373,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - EDUARDO RABELO,ESTRADA DO PRE,S/N,PARTE,CAMPO GRANDE,23015260,21 2536-6027,-22.8943007,-43.534288,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329306,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - GETULIO VARGAS,AV LOBO JUNIOR,2293,PARTE,PENHA,21070061,,-22.8404748,-43.2876615,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329543,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - IASERJ,AVENIDA HENRIQUE VALADARES,107,PARTE,CENTRO,20231030,21 2536-6027,-22.9124501,-43.1894001,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329810,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - IECAC,RUA DAVID CAMPISTA,326,PARTE,HUMAITA,22261010,,-22.9534083,-43.1996233,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329624,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - IEDE,RUA MONCORVO FILHO,90,PARTE,CENTRO,20211340,,-22.9091972,-43.1920142,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329934,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - NTO,RUA MARQUES DE OLINDA,12,PARTE,BOTAFOGO,22251040,21 2536-6027,-22.9439862,-43.1825491,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329802,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - PAM CAVALCANTI,RUA GRACA MELO,640,PARTE,CAVALCANTI,21381300,21 2536-6027,-22.8730993,-43.3129025,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329683,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - PAM COELHO NETO,RUA OUSELEY,355,PARTE,COELHO NETO,21530170,21 2536-6027,-22.8290473,-43.3490866,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329314,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - PEDRO II,RUA DO PRADO,329,PARTE,SANTA CRUZ,23550101,,-22.9137521,-43.6869719,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329721,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - REVIVA,RUA PADRE LEONEL FRANCA,248,PARTE,GAVEA,22451000,21 2536-6027,-22.9790351,-43.228727,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329756,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - SANTA MARIA,ESTRADA DO RIO PEQUENO,656,PARTE,JACAREPAGUA,22723195,21,-22.9159181,-43.4202847,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329799,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - SAO SEBASTIAO,AVENIDA HENRIQUE VALADARES,107,PARTE,CENTRO,20231030,21 2536-6027,-22.9124501,-43.1894001,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329357,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA BANGU,RUA FIGUEIREDO CAMARGO,S/N,PARTE,BANGU,21870210,,-22.8714589,-43.4559042,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329985,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA BOTAFOGO,RUA SAO CLEMENTE,S/N,PARTE,BOTAFOGO,22260000,25366027,-22.951665,-43.195104,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6330088,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA BOTAFOGO II,RUA NELSON MANDELA,10,PARTE,BOTAFOGO,22260005,21 2536-6027,-22.952057,-43.1839339,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329837,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA CAMPO GRANDE,ESTRADA DO MENDANHA,S/N,PARTE,CAMPO GRANDE,23087285,,-22.8738424,-43.5531681,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6330150,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA ENGENHO NOVO,RUA SOUSA BARROS,70,PARTE,ENGENHO NOVO,20961150,,-22.8997073,-43.2637938,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329330,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA IRAJA,AV MONSENHOR FELIX,380,PARTE,VAZ LOBO,21235110,,-22.8490115,-43.3254539,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6330037,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA JACAREPAGUA,RUA ANDRE ROCHA,20,PARTE,TAQUARA,22730522,,-22.9339927,-43.3776718,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329225,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA MARE,AV BRASIL,4880,PARTE,MANGUINHOS,21040361,,-22.8610314,-43.2479282,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6330029,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA MARECHAL,RUA XAVIER CURADO,S/N,PARTE,MARECHAL HERMES,21610330,,-22.8685593,-43.3766939,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6330002,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA RICARDO DE ALBUQUERQ,ESTRADA MARECHAL ALENCASTRO,S/N,PARTE,RICARDO DE ALBUQUERQUE,21625000,21 2536-6027,-22.8300838,-43.398605,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329365,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA SANTA CRUZ,AV CESARIO DE MELO,13655,PARTE,SANTA CRUZ,23590060,,-22.9330536,-43.6612084,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6330010,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS - UPA TIJUCA,RUA CONDE DE BOMFIN,S/N,PARTE,TIJUCA,20520053,,-22.9296831,-43.2371723,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6329233,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PROD LAB E SISTEMAS ROCHA FARIA,AV CESARIO DE MELO,3215,PARTE,CAMPO GRANDE,23050101,21 2536-6027,-22.9154533,-43.6270407,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
7359667,CIENTIFICALAB PRODUTOS LABORATORIAIS E SISTEMAS LTDA,CIENTIFICALAB PRODUTOS LABORAT. E SISTEMAS - REALENGO,RUA MARECHAL JOAQUIM INACIO,S/N,PARTE,REALENGO,21735320,21-39239487,-22.8744036,-43.4292853,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,8,FUNDACAO PRIVADA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
6832377,CIGLAL CIRURGIOES GERAIS E LAPAROSCOPICOS ASSOCIADOS LTDA,CIGLAL CIRURGIOES GERAIS E LAPAROSCOPICOS,RUA CONDE DE BONFIM,211,SALA 209,TIJUCA,21520050,2125960430,-22.9241792,-43.2282874,4,PRIVADA,4,UNIDADE SEM ATIVIDADE DE ENSINO,7,EMPRESA PRIVADA,36,CLINICA/CENTRO DE ESPECIALIDADE
